LONGITUDE,LATITUDE,OBJECTID,WATBREAKINCIDENTID,INCIDENT_DATE,BREAK_TYPE,HOUR_IMPACTED,STATUS,BREAK_NATURE,BREAK_APPARENT_CAUSE,POSITIVE_PRESSURE_MAINTANED,AIR_GAP_MAINTANED,MECHANICAL_REMOVAL,FLUSHING_EXCAVATION,HIGHER_VELOCITY_FLUSHING,ANODE_INSTALLED,BREAK_CATEGORIZATION,ROADSEGMENTID,STREET,ASSETID,ASSET_SIZE,ASSET_YEAR_INSTALLED,ASSET_MATERIAL,ASSET_EXISTS,GLOBALID
-80.442714376102,43.4568539790871,8004,672,1998-12-23 00:00:00+00:00,MAIN,8-12 hours,REPAIR COMPLETED,UNKNOWN,OTHER,Y,Y,Y,Y,Y,Y,CATEGORY 1,23230,MONTCALM DR,26950,200.0,1965.0,DI,Y,d2434202-a008-4227-a8a8-79c1b85e6912
-80.4838718855096,43.4417713081279,8005,89,2003-01-22 00:00:00+00:00,MAIN,8-12 hours,REPAIR COMPLETED,UNKNOWN,OTHER,Y,Y,Y,Y,Y,Y,CATEGORY 1,11606,STIRLING AVE S,76747,150.0,1940.0,CI,Y,35a835f9-b48c-4b7d-90c6-92fff123d902
-80.4675233219894,43.4260459777661,8006,702,1997-04-09 00:00:00+00:00,MAIN,8-12 hours,REPAIR COMPLETED,UNKNOWN,OTHER,Y,Y,Y,Y,Y,Y,CATEGORY 1,104704,HAYWARD AVE,18210,200.0,1967.0,CI,N,03202ae8-76a0-48ca-a456-077b922a7b68
-80.5040380169878,43.4547182209316,8008,1230,2008-10-10 00:00:00+00:00,MAIN,8-12 hours,REPAIR COMPLETED,UNKNOWN,OTHER,Y,Y,Y,Y,Y,Y,CATEGORY 1,8898,KING ST W,21430,250.0,1889.0,CI,N,165cfcf3-4759-43e2-850f-524096f3d37c
-80.4399900139448,43.4467355163987,8009,814,1998-12-21 00:00:00+00:00,MAIN,8-12 hours,REPAIR COMPLETED,UNKNOWN,OTHER,Y,Y,Y,Y,Y,Y,CATEGORY 1,23238,WAYNE DR,40740,150.0,1966.0,CI,Y,a240c17a-4d28-4392-97fe-206d5162f2a7
-80.5010954999599,43.4593246528107,8010,73,2004-12-19 00:00:00+00:00,MAIN,8-12 hours,REPAIR COMPLETED,UNKNOWN,OTHER,Y,Y,Y,Y,Y,Y,CATEGORY 1,11103,BISMARK AVE,76420,150.0,2009.0,PVC,N,1431fd09-add6-4eea-a265-f44f2fe78cb0
-80.4661591423416,43.4657182018731,8011,728,2003-11-16 00:00:00+00:00,MAIN,8-12 hours,REPAIR COMPLETED,UNKNOWN,OTHER,Y,Y,Y,Y,Y,Y,CATEGORY 1,603815,SHIRLEY AVE,32900,300.0,1960.0,CI,Y,47d945a5-d82e-4db9-8a46-42b5eb858dde
-80.5083858036263,43.4299835879198,8013,468,2004-01-18 00:00:00+00:00,MAIN,8-12 hours,REPAIR COMPLETED,UNKNOWN,OTHER,Y,Y,Y,Y,Y,Y,CATEGORY 1,6508,WESTMOUNT RD E,42520,300.0,1959.0,CI,Y,cd5ff175-73f0-46c9-80b9-0130cdc32732
-80.4607488512719,43.4388998195511,8014,174,1997-01-13 00:00:00+00:00,MAIN,8-12 hours,REPAIR COMPLETED,UNKNOWN,OTHER,Y,Y,Y,Y,Y,Y,CATEGORY 1,10015,WEBER ST E,41030,150.0,1952.0,CI,Y,cec67b18-68fe-4a75-b82f-27168e0616fa
-80.4973886689059,43.4370159611353,8015,1678,2011-12-15 15:38:26+00:00,MAIN,8-12 hours,REPAIR COMPLETED,UNKNOWN,OTHER,Y,Y,Y,Y,Y,Y,CATEGORY 1,6336,GLEN RD,136126,150.0,2017.0,PVCO,N,fd99993e-cc6b-4ffc-8fdf-14006a471b71
-80.4491522358719,43.4398518657583,8016,410,1999-02-16 00:00:00+00:00,MAIN,8-12 hours,REPAIR COMPLETED,UNKNOWN,OTHER,Y,Y,Y,Y,Y,Y,CATEGORY 1,70353,NOEL CRES,27910,100.0,1958.0,CI,Y,8d87fdac-6285-481b-9fdd-74fb88d23420
-80.4662497673517,43.4270961391778,8017,924,2000-02-06 00:00:00+00:00,MAIN,8-12 hours,REPAIR COMPLETED,UNKNOWN,OTHER,Y,Y,Y,Y,Y,Y,CATEGORY 1,10747,COURTLAND AVE E,8430,300.0,1970.0,DI,Y,deb34e14-f052-4919-ba83-691c63254ad7
-80.5343223454952,43.4185863241083,8018,1130,2007-04-23 00:00:00+00:00,MAIN,8-12 hours,REPAIR COMPLETED,UNKNOWN,OTHER,Y,Y,Y,Y,Y,Y,CATEGORY 1,21220,WESTHEIGHTS DR,42130,300.0,1974.0,DI,Y,0a84898a-d197-4938-85d3-2f61cba6b9cb
-80.4730015705102,43.4510696077484,8019,70,2003-02-25 00:00:00+00:00,MAIN,8-12 hours,REPAIR COMPLETED,UNKNOWN,OTHER,Y,Y,Y,Y,Y,Y,CATEGORY 1,11490,MERNER AVE,98392,150.0,2014.0,PVCO,N,b9cc8fdc-a06e-444c-b86f-b040fc5e7711
