longitude,latitude,incident_date,break_type,break_nature,break_apparent_cause,break_categorization,asset_size,asset_year_installed,asset_material,num_breaks,age_at_break,positive_pressure_maintaned,air_gap_maintaned,mechanical_removal,flushing_excavation,higher_velocity_flushing,anode_installed,asset_exists,connections,failure_rate
-80.4449894187932,43.4616680164392,2013-03-04,0,0,0,0,150.0,1966-01-01,1,5,47.0,1,1,1,1,1,1,1,5,0.11
-80.4381950025831,43.4556546404614,2013-03-04,0,2,2,0,150.0,1967-01-01,1,7,46.0,1,1,1,1,1,1,1,8,0.15
-80.4642699243863,43.4325422102442,2013-03-02,0,0,0,0,150.0,1958-01-01,1,3,55.0,1,1,1,1,1,1,1,2,0.05
-80.4575775763232,43.4502765770418,2013-02-28,0,0,6,0,150.0,1962-01-01,4,3,51.0,1,1,1,1,1,1,1,3,0.06
-80.4580765245719,43.4404674929673,2013-02-27,0,0,4,0,150.0,1951-01-01,1,1,62.0,1,1,1,1,1,1,1,1,0.02
-80.4794302992317,43.4626670101834,2013-02-23,0,0,4,0,300.0,1929-01-01,1,2,84.0,1,1,1,1,1,1,1,2,0.02
-80.4718048430121,43.4689796415678,2013-02-22,0,0,0,0,150.0,1957-01-01,1,4,56.0,1,1,1,1,1,1,1,9,0.07
-80.4371706511267,43.4326347550061,2013-02-20,0,0,2,0,150.0,1960-01-01,1,4,53.0,1,1,1,1,1,1,1,4,0.08
-80.5137390014518,43.425566880222,2013-02-19,0,0,0,0,150.0,1960-01-01,1,4,53.0,1,1,1,1,1,1,1,10,0.08
-80.4610181066111,43.4411431863271,2013-02-08,0,0,0,0,150.0,1947-01-01,1,4,66.0,1,1,1,1,1,1,1,4,0.06
-80.4391790662296,43.458195399256,2013-02-08,0,0,0,0,150.0,1966-01-01,1,2,47.0,1,1,1,1,1,1,1,3,0.04
-80.448429752442,43.4604931546977,2013-02-09,0,1,2,0,150.0,1966-01-01,1,2,47.0,1,1,1,1,1,1,1,2,0.04
-80.4862063541855,43.4746530327354,2013-02-09,0,0,1,0,150.0,1964-01-01,1,1,49.0,1,1,1,1,1,1,1,2,0.02
-80.5311855666512,43.4509565925793,2013-02-10,0,0,0,0,150.0,1959-01-01,1,4,54.0,1,1,1,1,1,1,1,4,0.07
