OBJECTID,WATMAINID,STATUS,PRESSURE_ZONE,ROADSEGMENTID,MAP_LABEL,CATEGORY,PIPE_SIZE,MATERIAL,LINED,LINED_DATE,LINED_MATERIAL,INSTALLATION_DATE,ACQUISITION,CONSULTANT,OWNERSHIP,BRIDGE_MAIN,BRIDGE_DETAILS,CRITICALITY,REL_CLEANING_AREA,REL_CLEANING_SUBAREA,UNDERSIZED,SHALLOW_MAIN,CONDITION_SCORE,OVERSIZED,CLEANED,GlobalID,Shape__Length
78365,81884,ACTIVE,KIT 4,11300,1.1m 300mm  PVC,TREATED,300,PVC,NO,,NONE,901065600000.0,PURCHASED,,KITCHENER,N,,7,2,21,N,N,9.35,N,N,b3bd970f-4393-4783-ab53-1c15996bd8ad,1.07959650354812
78366,81886,ACTIVE,KIT 4,1233,1.1m 300mm  DI,TREATED,300,DI,NO,,NONE,-63158400000.0,DONATED,,KITCHENER,N,,7,1,22,N,N,8.5,N,N,6e8f235c-d27d-4381-aaaa-8358d144a313,1.08887619169503
78367,81888,ACTIVE,KIT 2W,16081,1.1m 200mm  DI,TREATED,200,DI,NO,,NONE,360201600000.0,PURCHASED,,KITCHENER,N,,6,5,34,N,N,8.5,N,N,3cf11f36-3322-4590-beff-f90f2a053d05,1.10247619453465
78369,83180,ACTIVE,KIT 4,7052,2.7m 300mm  PVC,TREATED,300,PVC,NO,,NONE,1201824000000.0,PURCHASED,,KITCHENER,N,,0,2,22,N,N,9.35,N,N,97e3ac3e-c4c1-43f2-a21f-961aca77dd76,2.72077579127475
78370,81894,ACTIVE,KIT 4,7052,4.5m 300mm  PVC,TREATED,300,PVC,NO,,NONE,1201824000000.0,PURCHASED,,KITCHENER,N,,7,2,22,N,N,9.35,N,N,7927e883-9964-4946-b7b6-3ef41a57ebef,4.52919524473417
78371,81896,ACTIVE,KIT 4,7052,17m 600mm  PVC,TREATED,600,PVC,NO,,NONE,1201824000000.0,PURCHASED,,REGION,N,,0,2,22,N,N,9.35,N,N,1fa1f7c9-8014-4911-b942-1320fbf00910,17.0331854432809
78372,81900,ACTIVE,KIT 4,21775,1.8m 300mm  DI,TREATED,300,DI,NO,,NONE,189302400000.0,DONATED,,KITCHENER,N,,7,5,30,N,N,8.5,N,N,a7356b2e-bab7-4281-b66e-c1509508b0b7,1.76248660419552
78373,81902,ACTIVE,KIT 4,6659,42.2m 600mm  PVC,TREATED,600,PVC,NO,,NONE,1201824000000.0,PURCHASED,,REGION,N,,0,2,24,N,N,6.15,N,N,d5f62fcf-5544-4e8f-8cf8-41331a1322bc,42.2453069086055
78374,83182,ACTIVE,KIT 4,5876,4.5m 150mm  PVC,TREATED,150,PVC,NO,,NONE,1086048000000.0,PURCHASED,,KITCHENER,N,,0,2,7,N,N,9.35,N,N,291de12e-a646-4ea4-b96d-597f4f9478ca,4.51252285357069
78375,83184,ACTIVE,KIT 4,5879,101.8m 150mm  PVC,TREATED,150,PVC,NO,,NONE,1086048000000.0,PURCHASED,,KITCHENER,N,,6,2,7,N,N,9.35,N,N,8e3333bf-d147-4126-b974-b18c70c7ee40,101.793543694694
78376,83186,ACTIVE,KIT 4,5879,1.3m 150mm  PVC,TREATED,150,PVC,NO,,NONE,1086048000000.0,PURCHASED,,KITCHENER,N,,6,2,7,N,N,9.35,N,N,4d99cae0-968e-4019-b882-b92bce7aeb2f,1.25018926434412
78377,83188,ACTIVE,KIT 4,5879,3.3m 150mm  PVC,TREATED,150,PVC,NO,,NONE,1086048000000.0,PURCHASED,,KITCHENER,N,,0,2,7,N,N,9.35,N,N,04cbffa6-3089-4fb1-948d-5d63838d6a59,3.26957671861101
78378,69770,ACTIVE,KIT 4,5879,99.4m 150mm  PVC,TREATED,150,PVC,NO,,NONE,1086048000000.0,PURCHASED,,KITCHENER,N,,6,2,7,N,N,9.35,N,N,9c1a8624-2832-42d7-a998-1bb27a7549e1,99.4130883753772
78379,11400,ACTIVE,KIT 4,523025,157.4m 300mm  DI,TREATED,300,DI,NO,,NONE,517968000000.0,DONATED,,KITCHENER,N,,7,4,26,N,N,9.1,N,N,33e39dce-1403-4afb-8d5b-3e410b2c7f53,157.427282018231
78380,76029,ACTIVE,KIT 4,11378,58.6m 38mm  CI,TREATED,38,CI,NO,,NONE,,DONATED,,KITCHENER,N,,3,2,21,N,N,7.75,N,N,1b63975d-3e8a-41b1-8991-e2a7b57cbf75,58.6189269437519
78381,9450,ACTIVE,KIT 4,13260,269m 600mm  CPP,TREATED,600,CPP,NO,,NONE,-315619200000.0,DONATED,,REGION,N,,6,5,3,N,N,8.55,N,N,517967bd-59e0-4da5-891b-bcfe5dc31fb3,268.950378858269
78382,83190,ACTIVE,KIT 4,6591,1.3m 300mm  CI,TREATED,300,CI,YES,104400000.0,CEMENT,-662688000000.0,PURCHASED,,KITCHENER,N,,7,1,9,N,N,7.75,N,N,02b43497-bd6f-4e30-b13f-71d0e7c79c59,1.25331073971623
78383,12890,ACTIVE,KIT 4,6590,273m 300mm  CI,TREATED,300,CI,YES,104400000.0,CEMENT,-662688000000.0,PURCHASED,,KITCHENER,N,,6,1,10,N,N,7.75,N,N,90b6180d-04f8-4345-8a2e-7471dd82f89f,272.977531399967
78384,10260,ACTIVE,KIT 4,40010,47.1m 300mm  DI,TREATED,300,DI,NO,,NONE,110332800000.0,PURCHASED,,KITCHENER,N,,7,2,21,N,N,8.5,N,N,d5549c5b-137a-47c5-83be-13744df0e54f,47.135239346048
78385,83192,ACTIVE,KIT 4,40010,9.3m 300mm  DI,TREATED,300,DI,NO,,NONE,110332800000.0,PURCHASED,,KITCHENER,N,,0,2,21,N,N,8.5,N,N,7e5f1eab-ee9a-4b81-b881-b43201ef2c2c,9.30648122557057
78386,83194,ACTIVE,KIT 4,40010,11.9m 0mm  DI,TREATED,0,DI,NO,,NONE,110332800000.0,PURCHASED,,KITCHENER,N,,7,2,21,N,N,8.5,N,N,11dcee53-457b-4f73-b26c-694004e9cc21,11.8869812942835
78387,83196,ACTIVE,KIT 6,4848,13.5m 450mm  PVC,TREATED,450,PVC,NO,,NONE,801964800000.0,DONATED,,DUAL CITY AND REGION,N,,6,6,36,N,N,9.35,N,Y,2895d7cc-3910-4dd9-b12b-89cde7b6df9e,13.507284139527
78388,54640,ACTIVE,KIT 6,4848,109.3m 450mm  PVC,TREATED,450,PVC,NO,,NONE,801964800000.0,DONATED,,DUAL CITY AND REGION,N,,7,6,36,N,N,9.35,N,Y,181a1428-8864-4502-8c5e-bb84ff89efaa,109.322784448271
78391,830,ACTIVE,KIT 4,11749,84.9m 300mm  DI,TREATED,300,DI,NO,,NONE,13046400000.0,PURCHASED,,KITCHENER,N,,7,5,5,N,N,8.5,N,N,5f61087b-7c7c-4d8a-bba7-86fd708ee1ae,84.9280997680025
78394,133492,ACTIVE,KIT 5,9503,21.8m 600mm  DI,TREATED,600,DI,NO,,NONE,852076800000.0,PURCHASED,,REGION,N,,7,6,0,N,N,9.1,N,Y,51c485e9-192b-4f3e-8632-21e7a812ee08,21.7779680863427
78395,65320,ACTIVE,KIT 5,20634,55.6m 150mm  DI,TREATED,150,DI,NO,,NONE,247190400000.0,DONATED,NA,KITCHENER,N,,4,6,44,N,N,8.5,N,Y,36beeddb-20a9-4dbd-8e27-b9c8cafafaf2,55.5764575205811
78397,67880,ACTIVE,KIT 4,8556,98.3m 200mm  PVC,TREATED,200,PVC,NO,,NONE,991353600000.0,PURCHASED,,KITCHENER,N,,6,1,29,N,N,9.35,N,N,83109ca2-d965-4817-8bf9-ada4184bdf68,98.3149152259223
78398,83204,ACTIVE,KIT 4,8557,3.3m 200mm  PVC,TREATED,200,PVC,NO,,NONE,991353600000.0,PURCHASED,,KITCHENER,N,,0,1,29,N,N,9.35,N,N,a548068b-f759-4343-beb8-b21e50a6616e,3.30126385493788
