OBJECTID,WATBREAKINCIDENTID,INCIDENT_DATE,BREAK_TYPE,ROAD_CLOSED,SIDEWALK_CLOSED,HOUR_IMPACTED,UNITS_IMPACTED,CW_SERVICE_REQUEST,STATUS,STATUS_DATE,WORKORDER,RETURN_TO_NORMAL,BREAK_NATURE,BREAK_APPARENT_CAUSE,REPAIR_TYPE,NEW_SECTION_LENGTH,MAINTENANCE_DESC,VALVES_CLOSED,VALVES_OPENED,HYDRANTS_CALLED_OUT,HYDRANTS_CALLED_BACK_IN,POSITIVE_PRESSURE_MAINTANED,AIR_GAP_MAINTANED,DISINFECTED,MECHANICAL_REMOVAL,FLUSHING_EXCAVATION,HIGHER_VELOCITY_FLUSHING,ANODE_INSTALLED,BREAK_CATEGORIZATION,BACTERIA_TESTING_DATE,HEALTH_DEPT_NOTIFICATION,MOECC_SAC_NOTIFICATION,SAC_REFERENCE_NO,LOCAL_MOE_OFFICE,BWA_DWA,BWA_DWA_DECLARED,PROCEEDURES_FOLLOWED,RECORD_CHANGE_REQD,ROADSEGMENTID,CIVIC_NUMBER,STREET,ASSETID,ASSET_DEPTH,FROST_DEPTH,ASSET_SIZE,ASSET_YEAR_INSTALLED,ASSET_MATERIAL,ASSET_EXISTS,GLOBALID
7887,1319,1165190400000,SERVICE,Open,Open,8-12 hours,,,REPAIR COMPLETED,1323963508000,,,UNKNOWN,OTHER,,,,,,,,Y,Y,Y,Y,Y,Y,Y,CATEGORY 1,,,,,,N,,Y,N,10476,32,SCHUELLER ST,4127031,,,25.0,2003,XXX,Y,0eaeb433-06db-450d-b658-2517e59862a1
7888,1323,1146873600000,SERVICE,Open,Open,8-12 hours,,,REPAIR COMPLETED,1323963508000,156348.0,,UNKNOWN,OTHER,,,,,,,,Y,Y,Y,Y,Y,Y,Y,CATEGORY 1,,,,,,N,,Y,N,600416,385,FAIRWAY RD S,4096289,,,50.0,1990,XXX,Y,1c46be4f-756e-406d-a649-c1c0300fc166
8001,1520,1280880000000,SERVICE,Open,Open,8-12 hours,,,REPAIR COMPLETED,1323963507000,31791.0,,CORROSION,COMBINATION,,,,,,,,Y,Y,Y,Y,Y,Y,Y,CATEGORY 1,,,,,,N,,Y,N,6631,22,KING ST W,4646730,,,150.0,2002,PVC,Y,652cc4f2-0f6d-4c61-ba10-1ca8c0d4949e
8002,1313,946339200000,SERVICE,Open,Open,8-12 hours,,,REPAIR COMPLETED,1323963508000,,,UNKNOWN,OTHER,,,,,,,,Y,Y,Y,Y,Y,Y,Y,CATEGORY 1,,,,,,N,,Y,N,21422,231,BIEHN DR,4125488,,,25.0,1987,XXX,Y,ffb4fc64-44ae-4488-aea5-13252ca20bd9
8003,1314,916704000000,SERVICE,Open,Open,8-12 hours,,,REPAIR COMPLETED,1323963508000,,,UNKNOWN,OTHER,,,,,,,,Y,Y,Y,Y,Y,Y,Y,CATEGORY 1,,,,,,N,,Y,N,12575,28,SCHWEITZER ST,4742364,,,25.0,2018,PE,N,4f731e20-4052-4cd8-aa66-94a85542f15c
8004,672,914371200000,MAIN,Open,Open,8-12 hours,,,REPAIR COMPLETED,1323963507000,,,UNKNOWN,OTHER,,,,,,,,Y,Y,Y,Y,Y,Y,Y,CATEGORY 1,,,,,,N,,Y,N,23230,80,MONTCALM DR,26950,,,200.0,1965,DI,Y,d2434202-a008-4227-a8a8-79c1b85e6912
8005,89,1043193600000,MAIN,Open,Open,8-12 hours,,,REPAIR COMPLETED,1323963506000,,,UNKNOWN,OTHER,,,,,,,,Y,Y,Y,Y,Y,Y,Y,CATEGORY 1,,,,,,N,,Y,N,11606,204,STIRLING AVE S,76747,,,150.0,1940,CI,Y,35a835f9-b48c-4b7d-90c6-92fff123d902
8006,702,860544000000,MAIN,Open,Open,8-12 hours,,,REPAIR COMPLETED,1323963507000,,,UNKNOWN,OTHER,,,,,,,,Y,Y,Y,Y,Y,Y,Y,CATEGORY 1,,,,,,N,,Y,N,104704,130,HAYWARD AVE,18210,,,200.0,1967,CI,N,03202ae8-76a0-48ca-a456-077b922a7b68
8007,67,1051488000000,MAIN,Open,Open,8-12 hours,,,REPAIR COMPLETED,1323963506000,,,UNKNOWN,OTHER,,,,,,,,Y,Y,Y,Y,Y,Y,Y,CATEGORY 1,,,,,,N,,Y,N,11413,347,MILL ST,26730,,,,,,N,2b7d9979-3508-4727-b20d-54a50b6a4e9c
8008,1230,1223596800000,MAIN,Open,Open,8-12 hours,,,REPAIR COMPLETED,1323963507000,202140.0,,UNKNOWN,OTHER,,,,,,,,Y,Y,Y,Y,Y,Y,Y,CATEGORY 1,,,,,,N,,Y,N,8898,,KING ST W,21430,,,250.0,1889,CI,N,165cfcf3-4759-43e2-850f-524096f3d37c
8009,814,914198400000,MAIN,Open,Open,8-12 hours,,,REPAIR COMPLETED,1323963507000,,,UNKNOWN,OTHER,,,,,,,,Y,Y,Y,Y,Y,Y,Y,CATEGORY 1,,,,,,N,,Y,N,23238,34,WAYNE DR,40740,,,150.0,1966,CI,Y,a240c17a-4d28-4392-97fe-206d5162f2a7
