OBJECTID,WATMAINID,STATUS,PRESSURE_ZONE,ROADSEGMENTID,MAP_LABEL,CATEGORY,PIPE_SIZE,MATERIAL,LINED,LINED_DATE,LINED_MATERIAL,INSTALLATION_DATE,ACQUISITION,CONSULTANT,OWNERSHIP,BRIDGE_MAIN,BRIDGE_DETAILS,CRITICALITY,REL_CLEANING_AREA,REL_CLEANING_SUBAREA,UNDERSIZED,SHALLOW_MAIN,CONDITION_SCORE,OVERSIZED,CLEANED,GlobalID,Shape__Length
88913,93286,ACTIVE,KIT 2E,22294,141.8m 200mm  DI,TREATED,200,DI,NO,,NONE,1972/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,5,21,N,N,8.5,N,N,5c60519b-90c3-4ac7-822d-cdc23fc76987,141.820535851292
88915,63560,ACTIVE,KIT 4,8748,80.3m 150mm  CI,TREATED,150,CI,NO,,NONE,1953/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,1,19,N,N,5.35,N,N,f393c375-3c7f-4c2d-a254-df0fd19cc981,80.3026616016185
88916,93288,ACTIVE,KIT 4,11302,13.3m 300mm  PVC,TREATED,300,PVC,NO,,NONE,1998/07/22 00:00:00+00,PURCHASED,,KITCHENER,N,,7,2,21,N,N,9.35,N,N,e1eb5e86-c4af-4297-900e-78cbc5fc5c8d,13.2775187458196
88917,61720,ACTIVE,KIT 4,11302,79.5m 300mm  PVC,TREATED,300,PVC,NO,,NONE,1998/07/22 00:00:00+00,PURCHASED,,KITCHENER,N,,7,2,21,N,N,9.35,N,N,3819b588-a629-4b59-a637-6bdac29301e5,79.4864978114044
88918,93290,ACTIVE,KIT 4,600305,15m 300mm  PVC,TREATED,300,PVC,NO,,NONE,2009/01/12 00:00:00+00,DONATED,,KITCHENER,N,,7,4,31,N,N,9.35,N,N,7597de87-bfb2-4ee1-9442-5fb74453b038,15.0346894495913
88919,76128,ACTIVE,KIT 4,600305,85.3m 300mm  PVC,TREATED,300,PVC,NO,,NONE,2009/02/20 00:00:00+00,DONATED,MTE,KITCHENER,N,,7,4,31,N,N,9.35,N,N,822e84da-f87f-4582-89c3-2a3735f52bde,85.3203875159898
88920,93292,ACTIVE,KIT 4,20981,30.3m 300mm  DI,TREATED,300,DI,NO,,NONE,1985/01/02 00:00:00+00,DONATED,,REGION,N,,0,1,9,N,N,9.1,N,N,eafaaf48-1edf-4820-88cf-5f415fb1306c,30.2827676809304
88921,93294,ACTIVE,KIT 4,20981,15.1m 300mm  DI,TREATED,300,DI,NO,,NONE,1985/01/02 00:00:00+00,DONATED,,REGION,N,,0,1,9,N,N,9.1,N,N,c5136460-be06-4b5b-993d-ac739c028699,15.0987807417408
88922,12250,ACTIVE,KIT 4,6597,192.1m 400mm  CI,TREATED,400,CI,NO,,NONE,1950/01/01 00:00:00+00,DONATED,,REGION,N,,7,1,9,N,N,7.75,Y,N,154c407e-9ff5-4cc4-a027-dea00a288dea,192.093915074986
88923,93296,ACTIVE,KIT 4,20981,158m 400mm  CI,TREATED,400,CI,NO,,NONE,1950/01/01 00:00:00+00,DONATED,,REGION,N,,0,1,9,N,N,7.75,Y,N,2df76472-671a-4f72-b16d-c6f9f26ca66e,157.992914859728
88924,76036,ACTIVE,KIT 4,601166,38.1m 150mm  PVC,TREATED,150,PVC,NO,,NONE,2006/02/08 00:00:00+00,DONATED,,KITCHENER,N,,6,4,33,N,N,9.35,N,N,4317f841-7e8b-400c-a6de-c7bd29b2a548,38.0733803106757
88925,74740,ACTIVE,KIT 4,10995,91.6m 350mm  HDPE IN CI,TREATED,350,HDPE IN CI,NO,,NONE,2007/01/17 00:00:00+00,PURCHASED,,KITCHENER,N,,9,5,0,N,N,10,N,N,b8d568f2-21e6-44ba-8d4f-1e4b0f874e9e,91.5820587343011
88926,93298,ACTIVE,KIT 4,10214,.5m 150mm  CI,TREATED,150,CI,NO,,NONE,1960/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,4,1,N,N,7.75,N,N,4134b480-a4b5-4c31-9fa5-2b14bfe72651,0.53480134594637
88927,18660,ACTIVE,KIT 4,22924,195.6m 150mm  CI,TREATED,150,CI,NO,,NONE,1960/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,4,1,N,N,5.75,N,N,f2c632c5-d659-487a-ac77-bee60b22358e,195.589998073983
88928,93300,ACTIVE,KIT 4,9456,13.1m 150mm  DI,TREATED,150,DI,NO,,NONE,1991/01/01 00:00:00+00,DONATED,,KITCHENER,N,,5,3,8,N,N,9.1,N,N,c07e8ac6-7c06-4dc4-b293-2ef24cee90fa,13.1482575936487
88929,18370,ACTIVE,KIT 4,9453,133.8m 150mm  DI,TREATED,150,DI,NO,,NONE,1991/01/01 00:00:00+00,DONATED,,KITCHENER,N,,5,3,9,N,N,9.1,N,N,a7c11535-4957-4f51-836f-28241d8386b0,133.838558097465
88930,93302,ACTIVE,KIT 4,9453,10.5m 150mm  DI,TREATED,150,DI,NO,,NONE,1991/01/01 00:00:00+00,DONATED,,KITCHENER,N,,5,3,9,N,N,9.1,N,N,6150e730-0837-4211-a3ad-56c2ee7843d3,10.4561210777432
88931,93304,ACTIVE,KIT 4,9453,119.9m 150mm  DI,TREATED,150,DI,NO,,NONE,1991/01/01 00:00:00+00,DONATED,,KITCHENER,N,,5,3,9,N,N,9.1,N,N,6af66913-4930-4c17-b421-750eb1fdd17b,119.853537909266
88932,93306,ACTIVE,KIT 4,9246,7.6m 300mm  DI,TREATED,300,DI,NO,,NONE,1978/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,3,12,N,N,8.5,N,N,8ec851cc-3af2-4679-ba83-43c5e6599b37,7.61973804387844
88933,12120,ACTIVE,KIT 4,9246,73.2m 300mm  DI,TREATED,300,DI,NO,,NONE,1978/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,3,12,N,N,8.5,N,N,783602aa-fdbd-4d26-8aee-6c912002ddf3,73.2076413161914
88934,93308,ACTIVE,KIT 4,13293,10.8m 150mm  CI,TREATED,150,CI,NO,,NONE,1956/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,5,7,N,N,7.75,N,N,4a7bb7d6-c8a7-4e27-9fd5-abbc3a0917e8,10.824100726731
