OBJECTID,WATMAINID,STATUS,PRESSURE_ZONE,ROADSEGMENTID,MAP_LABEL,CATEGORY,PIPE_SIZE,OVERSIZED_DIAMETER,MATERIAL,LINED,LINED_DATE,LINED_MATERIAL,INSTALLATION_DATE,ACQUISITION,CONSULTANT,OWNERSHIP,BRIDGE_MAIN,BRIDGE_DETAILS,CRITICALITY,REL_CLEANING_AREA,REL_CLEANING_SUBAREA,UNDERSIZED,SHALLOW_MAIN,CONDITION_SCORE,OVERSIZED,GlobalID,Shape__Length
87875,92200,ACTIVE,KIT 4,23216,12.8m 150mm  CI,TREATED,150,,CI,NO,,NONE,1967/06/01 00:00:00+00,DONATED,,KITCHENER,N,,5,4,25,N,N,7.85,N,b8e10daa-d90b-4f80-899b-93090c16f80f,12.8014194030801
87876,92202,ACTIVE,KIT 4,23216,253.4m 150mm  CI,TREATED,150,,CI,NO,,NONE,1967/06/01 00:00:00+00,DONATED,,KITCHENER,N,,5,4,25,N,N,4,N,06d0116a-5cf6-433e-bcee-1594bfb77df8,253.436925163724
87877,16000,ACTIVE,KIT 4,23216,317m 150mm  CI,TREATED,150,,CI,NO,,NONE,1967/06/01 00:00:00+00,DONATED,,KITCHENER,N,,5,4,25,N,N,5.45,N,d6bc6a60-ab40-434f-8a75-ce8b08ba75fd,316.991959394267
87878,92204,ACTIVE,KIT 4,23216,12.6m 150mm  CI,TREATED,150,,CI,NO,,NONE,1967/06/01 00:00:00+00,DONATED,,KITCHENER,N,,5,4,25,N,N,7.85,N,c8e4c39a-73fa-49c9-b8a9-84fdadeec7c5,12.5581517673052
87884,92214,ACTIVE,KIT 4,8523,7.5m 150mm  CI,TREATED,150,,CI,NO,,NONE,1948/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,1,22,N,N,7.75,N,05f18533-955c-449b-8d14-58f9520e0e56,7.54111020936569
87887,92218,ACTIVE,KIT 4,20671,20m 150mm  CI,TREATED,150,,CI,NO,,NONE,1956/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,1,3,N,N,7.75,N,715a6351-8233-451b-8c43-a5f66e47bb4e,19.9743676310228
87888,3640,ACTIVE,KIT 4,20671,463m 150mm  CI,TREATED,150,,CI,NO,,NONE,1956/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,1,3,N,N,5.35,N,0961c289-a8d6-4d83-b49d-8d582fd89ac6,462.9910050047
87889,60720,ACTIVE,KIT 4,9855,26.6m 150mm  PVC,TREATED,150,,PVC,NO,,NONE,1997/07/01 00:00:00+00,PURCHASED,COK,KITCHENER,N,,6,2,15,N,N,9.35,N,9fc534b8-4a3d-4c38-bbe3-d633d5b45a3e,26.6293895589905
87890,19440,ACTIVE,KIT 4,601077,39.2m 300mm  DI,TREATED,300,,DI,NO,,NONE,1965/06/01 00:00:00+00,DONATED,,KITCHENER,N,,6,4,0,N,N,8.5,N,172ae19a-8685-4436-89bd-5f0cf1634410,39.1845002354667
87891,92220,ACTIVE,KIT 4,13176,16.7m 300mm  DI,TREATED,300,,DI,NO,,NONE,1965/06/01 00:00:00+00,DONATED,,KITCHENER,N,,7,5,6,N,N,8.5,N,e0d0350c-0647-47b0-a622-5d9115be126b,16.7461149649388
